Instancia,Experimento,Seed,Fitness,Tiempo (s),Generaciones,Solucion_Valida
AJUSTADA,A2_Mut_Flip,9,"1,5842","85,95",150,TRUE
AJUSTADA,A2_Mut_Flip,10,"2,2209","84,43",150,TRUE
AJUSTADA,A2_Mut_Flip,11,"1,6071","84,21",150,TRUE
AJUSTADA,A2_Mut_Flip,12,"1,7026","84,26",150,TRUE
AJUSTADA,A2_Mut_Flip,13,"1,7847","84,75",150,TRUE
AJUSTADA,A2_Mut_Flip,14,"1,5250","85,00",150,TRUE
AJUSTADA,A2_Mut_Flip,15,"1,9480","87,29",150,TRUE
AJUSTADA,A2_Mut_Flip,16,"1,6862","82,29",150,TRUE
AJUSTADA,A2_Mut_Flip,17,"1,9480","84,95",150,TRUE
AJUSTADA,A2_Mut_Flip,18,"2,1531","84,67",150,TRUE
AJUSTADA,A2_Mut_Flip,19,"1,5480","83,95",150,TRUE
AJUSTADA,A2_Mut_Flip,20,"2,4347","83,94",150,TRUE
AJUSTADA,A2_Mut_Flip,21,"2,2276","88,67",150,TRUE
AJUSTADA,A2_Mut_Flip,22,"1,6270","85,09",150,TRUE
AJUSTADA,A2_Mut_Flip,23,"1,5250","89,86",150,TRUE
AJUSTADA,A2_Mut_Flip,24,"1,8821","93,39",150,TRUE
AJUSTADA,A2_Mut_Flip,25,"1,7612","83,72",150,TRUE
AJUSTADA,A2_Mut_Flip,26,"1,5480","86,96",150,TRUE
AJUSTADA,A2_Mut_Flip,27,"1,6434","84,41",150,TRUE
AJUSTADA,A2_Mut_Flip,28,"1,5918","86,03",150,TRUE
AJUSTADA,A2_Mut_Flip,29,"1,9760","83,42",150,TRUE
AJUSTADA,A2_Mut_Flip,30,"1,6163","83,35",150,TRUE
AJUSTADA,A2_Mut_Intercambio,1,"2,2801","91,81",150,TRUE
AJUSTADA,A2_Mut_Intercambio,2,"1,5959","93,61",150,TRUE
AJUSTADA,A2_Mut_Intercambio,3,"1,7469","94,08",150,TRUE
AJUSTADA,A2_Mut_Intercambio,4,"2,2010","90,63",150,TRUE
AJUSTADA,A2_Mut_Intercambio,5,"1,6969","87,79",150,TRUE
AJUSTADA,A2_Mut_Intercambio,6,"1,7694","88,56",150,TRUE
AJUSTADA,A2_Mut_Intercambio,7,"2,0357","88,95",150,TRUE
AJUSTADA,A2_Mut_Intercambio,8,"1,7398","89,51",150,TRUE
AJUSTADA,A2_Mut_Intercambio,9,"1,6633","90,11",150,TRUE
AJUSTADA,A2_Mut_Intercambio,10,"1,5995","94,12",150,TRUE
AJUSTADA,A2_Mut_Intercambio,11,"2,0046","99,37",150,TRUE
AJUSTADA,A2_Mut_Intercambio,12,"1,5679","94,22",150,TRUE
AJUSTADA,A2_Mut_Intercambio,13,"1,7245","101,00",150,TRUE
AJUSTADA,A2_Mut_Intercambio,14,"1,5872","99,10",150,TRUE
AJUSTADA,A2_Mut_Intercambio,15,"1,5556","98,82",150,TRUE
AJUSTADA,A2_Mut_Intercambio,16,"2,4500","96,41",150,TRUE
AJUSTADA,A2_Mut_Intercambio,17,"1,6883","95,38",150,TRUE
AJUSTADA,A2_Mut_Intercambio,18,"1,7469","96,19",150,TRUE
AJUSTADA,A2_Mut_Intercambio,19,"1,7949","96,66",150,TRUE
AJUSTADA,A2_Mut_Intercambio,20,"1,6204","98,25",150,TRUE
AJUSTADA,A2_Mut_Intercambio,21,"1,8010","94,42",150,TRUE
AJUSTADA,A2_Mut_Intercambio,22,"1,8051","96,73",150,TRUE
AJUSTADA,A2_Mut_Intercambio,23,"1,6434","95,45",150,TRUE
AJUSTADA,A2_Mut_Intercambio,24,"1,7092","101,16",150,TRUE
AJUSTADA,A2_Mut_Intercambio,25,"1,5679","96,70",150,TRUE
AJUSTADA,A2_Mut_Intercambio,26,"1,8964","98,32",150,TRUE
AJUSTADA,A2_Mut_Intercambio,27,"1,4898","100,40",150,TRUE
AJUSTADA,A2_Mut_Intercambio,28,"1,7026","112,18",150,TRUE
AJUSTADA,A2_Mut_Intercambio,29,"1,6939","97,43",150,TRUE
AJUSTADA,A2_Mut_Intercambio,30,"2,0311","100,35",150,TRUE
AJUSTADA,A2_Mut_Reasignar,1,"2,5617","87,70",150,TRUE
AJUSTADA,A2_Mut_Reasignar,2,"1,6235","88,09",150,TRUE
AJUSTADA,A2_Mut_Reasignar,3,"2,2209","85,42",150,TRUE
AJUSTADA,A2_Mut_Reasignar,4,"2,1026","86,69",150,TRUE
AJUSTADA,A2_Mut_Reasignar,5,"1,8658","87,70",150,TRUE
AJUSTADA,A2_Mut_Reasignar,6,"1,4230","87,07",150,TRUE
AJUSTADA,A2_Mut_Reasignar,7,"1,7694","87,38",150,TRUE
AJUSTADA,A2_Mut_Reasignar,8,"1,6633","88,87",150,TRUE
AJUSTADA,A2_Mut_Reasignar,9,"1,9439","86,74",150,TRUE
AJUSTADA,A2_Mut_Reasignar,10,"1,6434","85,74",150,TRUE
AJUSTADA,A2_Mut_Reasignar,11,"1,6102","88,64",150,TRUE
AJUSTADA,A2_Mut_Reasignar,12,"1,5990","86,49",150,TRUE
AJUSTADA,A2_Mut_Reasignar,13,"1,5980","88,09",150,TRUE
AJUSTADA,A2_Mut_Reasignar,14,"1,5189","84,93",150,TRUE
AJUSTADA,A2_Mut_Reasignar,15,"1,4658","87,33",150,TRUE
AJUSTADA,A2_Mut_Reasignar,16,"1,9454","87,44",150,TRUE
AJUSTADA,A2_Mut_Reasignar,17,"2,0071","91,61",150,TRUE
AJUSTADA,A2_Mut_Reasignar,18,"1,5316","89,78",150,TRUE
AJUSTADA,A2_Mut_Reasignar,19,"2,0969","86,81",150,TRUE
AJUSTADA,A2_Mut_Reasignar,20,"1,4658","87,36",150,TRUE
AJUSTADA,A2_Mut_Reasignar,21,"1,5679","88,12",150,TRUE
AJUSTADA,A2_Mut_Reasignar,22,"1,6005","86,08",150,TRUE
AJUSTADA,A2_Mut_Reasignar,23,"1,4219","86,70",150,TRUE
AJUSTADA,A2_Mut_Reasignar,24,"1,8230","87,32",150,TRUE
AJUSTADA,A2_Mut_Reasignar,25,"1,5842","86,16",150,TRUE
AJUSTADA,A2_Mut_Reasignar,26,"1,5842","87,43",150,TRUE
AJUSTADA,A2_Mut_Reasignar,27,"1,4066","86,76",150,TRUE
AJUSTADA,A2_Mut_Reasignar,28,"1,5918","88,09",150,TRUE
AJUSTADA,A2_Mut_Reasignar,29,"1,5250","99,74",150,TRUE
AJUSTADA,A2_Mut_Reasignar,30,"1,8219","96,47",150,TRUE
AJUSTADA,A3_Sel_Ranking,1,"1,9173","112,09",150,TRUE
AJUSTADA,A3_Sel_Ranking,2,"2,0245","169,13",150,TRUE
AJUSTADA,A3_Sel_Ranking,3,"1,9755","147,72",150,TRUE
AJUSTADA,A3_Sel_Ranking,4,"2,2347","136,75",150,TRUE
AJUSTADA,A3_Sel_Ranking,5,"1,8837","132,72",150,TRUE
AJUSTADA,A3_Sel_Ranking,6,"1,9510","142,60",150,TRUE
AJUSTADA,A3_Sel_Ranking,7,"1,8806","136,29",150,TRUE
AJUSTADA,A3_Sel_Ranking,8,"2,0214","123,40",150,TRUE
AJUSTADA,A3_Sel_Ranking,9,"1,7357","124,22",150,TRUE
AJUSTADA,A3_Sel_Ranking,10,"1,8770","124,92",150,TRUE
AJUSTADA,A3_Sel_Ranking,11,"2,0459","123,92",150,TRUE
AJUSTADA,A3_Sel_Ranking,12,"1,6939","125,62",150,TRUE
