Instancia,Experimento,Seed,Fitness,Tiempo(s),Generaciones,Seleccion,Cruce,Mutacion
BASE,A1_Cross_TwoPoint,12,1.891975308641975,113.6664502620697,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,13,1.7654320987654313,121.10605955123901,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,14,1.716049382716049,119.5218198299408,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,15,1.6296296296296293,114.65569853782654,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,16,1.75,118.96292161941528,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,17,1.641975308641975,125.75008797645569,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,18,1.70679012345679,123.07784914970398,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,19,1.7438271604938262,122.63879799842834,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,20,1.6913580246913575,117.4733898639679,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,21,1.7037037037037033,111.40569996833801,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,22,1.6234567901234567,119.87377381324768,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,23,1.6635802469135799,120.9513201713562,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,24,1.790123456790124,113.74266743659973,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,25,1.6234567901234567,119.02521061897278,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
