Instancia,Experimento,Seed,Fitness,Tiempo(s),Generaciones,Seleccion,Cruce,Mutacion
AJUSTADA,A1_Cross_TwoPoint,10,1.953061224489796,88.81124901771545,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,11,1.3704081632653056,88.90670013427734,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,12,1.4734693877551017,90.79887413978577,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,13,1.5413265306122448,89.81164121627808,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,14,1.5326530612244895,88.51893854141235,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,15,1.502551020408163,90.8380229473114,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,16,1.4229591836734692,87.55278468132019,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,17,1.7637755102040815,89.59352922439575,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,18,1.4658163265306121,89.46813821792603,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,19,1.7637755102040815,90.90971541404724,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,20,1.496428571428571,97.70140814781189,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,21,1.5188775510204078,100.24736499786377,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,22,1.5923469387755098,86.81302237510681,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,23,1.5683673469387756,85.8246443271637,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,24,2.0081632653061225,87.18076252937317,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,25,1.5285714285714287,88.81187534332275,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,26,1.443367346938775,86.96650075912476,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,27,1.4066326530612243,88.19600081443787,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,28,1.9841836734693876,87.5032000541687,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,29,1.9051020408163262,87.63899207115173,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A1_Cross_TwoPoint,30,1.4887755102040812,87.82625889778137,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
AJUSTADA,A2_Mut_Flip,1,1.6852040816326528,100.15694332122803,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,2,1.8724489795918369,98.55250763893127,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,3,1.570918367346938,99.48088097572327,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,4,1.7255102040816324,93.7169919013977,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,5,1.525,89.86037230491638,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,6,1.623469387755102,85.46374320983887,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,7,2.1188775510204083,86.30552339553833,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,8,1.5714285714285714,84.71599984169006,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,9,1.5841836734693877,85.95286297798157,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,10,2.220918367346939,84.43298316001892,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,11,1.6071428571428568,84.20703983306885,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,12,1.7025510204081633,84.26201844215393,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,13,1.7846938775510202,84.74700999259949,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,14,1.525,84.99919176101685,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,15,1.9479591836734689,2897.0474350452423,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,16,1.6862244897959182,82.28702163696289,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,17,1.9479591836734689,84.94505786895752,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,18,2.1530612244897958,84.66843914985657,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,19,1.547959183673469,83.95115113258362,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,20,2.4346938775510205,83.939523935318,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,21,2.227551020408163,88.67026352882385,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,22,1.6270408163265304,85.08522415161133,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,23,1.525,89.8612163066864,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,24,1.8821428571428571,93.39385676383972,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,25,1.761224489795918,83.72379899024963,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,26,1.547959183673469,86.96382355690002,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,27,1.6433673469387755,84.41099333763123,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,28,1.5918367346938773,86.03139185905457,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,29,1.9760204081632646,83.41842937469482,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Flip,30,1.6163265306122447,83.34994006156921,150,torneo_deterministico,bloques_verticales,flip_simple
AJUSTADA,A2_Mut_Intercambio,1,2.2801020408163266,91.80838537216187,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,2,1.5959183673469388,93.61318182945251,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,3,1.7469387755102037,94.08320713043213,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,4,2.2010204081632656,90.63488698005676,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,5,1.6969387755102043,87.7930097579956,150,torneo_deterministico,bloques_verticales,intercambio_dia
